id,pais_id,nome,contato,cidade
41,FRA,Elle Fashion & Design,Louise Davu,Toulouse
84,FRA,Art et Fashion,Pierre Robert,Lyon
33,VEN,El Abrigo Mortal,Antonio Palmer Amer,Caracas
37,IRL,Boleros,Robert Bolero,Cork
43,USA,For The Dark Night,Klaus Tarantino,Walla Walla
9,FRA,La Legion Mercenaire,Bernard de Gaule,Marseille
10,CAN,Big Foot Shoes,James Hendersson,Tsawassen
7,FRA,Menàge à Trois,Julie Binoché,Strasbourg
74,FRA,Chateau de Ville,André Millard,Paris
19,GBR,Th Fashing,Greg Thatcher,London
51,CAN,Davenport Fashion,James Belucci,Montréal
26,FRA,Le Sais de Rión,Jeanne d´Anjou,Nantes
78,USA,TTT-The Ticky Tie,Mary Stone,Butte
85,FRA,Pour l´homme,Henry Renault,Reims
40,FRA,La Boheme,Philippe de Laval,Versailles
18,FRA,Aujourd´hui,Pierre Chardin,Nantes
45,USA,Bobby Socks,Vincent Vega,San Francisco
48,USA,Too Hot 4U,Andrea Pamelsson,Portland
77,USA,Eye Fashion,Charles Oakley,Portland
72,GBR,Fast Sunglasses,Ray Banned,London
4,GBR,Dr Jims Trousers,Carl Montgomery,London
23,FRA,Champes,Jaques Wilneuve,Lille
71,USA,Sunny Ski Store,Perry Farell,Boise
89,USA,Nirvana Stores,Alice Chain,Seattle
82,USA,Bond Ltd,Mark Stark,Kirkland
42,CAN,Millenium,Joe Barry,Vancouver
32,USA,The Corner Store,Ross The Boss,Eugene
55,USA,SSS-Sport Shoes Store,Al Bundy,Anchorage
65,USA,X-Site,Malcolm X,Albuquerque
86,DEU,Autokleider,Ralf Schumaker,Stuttgart
24,SWE,Sport & Fritid AB,Linda Haglund,Bräcke
62,BRA,Roba di Piel,Jorge Alemaio,São Paulo
31,BRA,Paintho da Gama,Anna Figo,Campinas
67,BRA,Da Bikini Expertu,Thomá Lindao,Rio de Janeiro
64,ARG,Ropa total,Emerson Fittipaldi,Buenos Aires
15,BRA,Tendha do Flamengo,Edson Arantes do Nascimento,São Paulo
81,BRA,Merced do Vaile,Mercedes Couto,São Paulo
80,MEX,Don Balón,Peloto Gomez,México D.F.
2,MEX,La Tienda de la Esquina,Paco el Maco,México D.F.
47,VEN,El Pirata,Andrés Barbanegra,I. de Margarita
5,SWE,Urras Shop,Urra Gurra Aktersnurra,Luleå
16,GBR,The sharped dressed man,Ian Wright,London
25,DEU,Halle Köln,Dieter Köln,München
76,BEL,Belgium Black Jeans,Cheril Cow,Charleroi
8,ESP,Las Corbatas,Julio Iglesias,Madrid
22,ESP,La Camisas Cansadas,Filemón,Madrid
3,MEX,La Ropa Vieja,Sancho Panza,México D.F.
58,MEX,La Moda Pasada,Francisca Font Barceló,México D.F.
35,VEN,El Zapato Rojo,Nicolas Balines,San Cristóbal
46,VEN,Los Vatos Locos,Tony Montana,Barquisimeto
36,USA,Pulp Toxedos,Marcellus Wallace,Elgin
13,MEX,Los Sombreros Gigantes,Speedy Gonzales,México D.F.
70,NOR,Alles Lusekofter,Akkurat Jonny,Stavern
60,PRT,La Roba do Santho,Leopoldo Samba,Lisboa
11,GBR,Shoe Expert,David Foot,London
30,ESP,Los Trajes de Matador,El Cordobes,Sevilla
6,DEU,Man Kleider,Herman Hinschler,Mannheim
38,GBR,King Size Clothes,Al Yankovic,Cowes
127,SWE,Stephanies,Staffan Blond,Stockholm
59,AUT,Extrawagens,Herbert Bernstorf,Salzburg
69,ESP,La Moda Alucinante,Emilio Ilegal,Madrid
68,CHE,Golden Design Group,Carl Perry,Genève
14,CHE,Das Alpen Shoe,Alfred Neumann,Bern
52,DEU,Kohl Industries AG,Helmuth Klein,Leipzig
28,PRT,El Traige do Benfica,Vitor Baiha,Lisboa
90,FIN,Leningrad Cowboys Shop,Reijoo Haajanen,Helsinki
20,AUT,Ski Store,Lars Saalbach,Graz
54,ARG,Los Espandrilos Fantasticos,Don Gerardo,Buenos Aires
79,DEU,Boombastic,Heinz Disco,Münster
44,DEU,Warp AG,Klaus Deum,Frankfurt a.M.
39,DEU,Noch Einmal GMBH,Dieter Rummernige,Brandenburg
56,DEU,Casual Clothing,Herman Schlusse,Köln
1,DEU,Eintrach GS,Albert von Einstein,Berlin
75,USA,Macalena,Paul Smith,Lander
12,ARG,Los Pantalones Magicos,Victoria Abril,Buenos Aires
29,ESP,El Chandal del Barca,Jusep del pep,Barcelona
61,BRA,Copacabana,Giovanni Santhos,Rio de Janeiro
88,BRA,Da Santho Cosmethia,Mariah Erdi,Resende
34,BRA,El Carnevale,Joe do Pintho,Rio de Janeiro
21,BRA,Cloe do Pau,Romario do Sauza,São Paulo
50,BEL,De la Vita,Marco Van Deum,Bruxelles
53,GBR,Fawtly Towers,John Cleez,London
66,ITA,Sport Shop,Anna Bella,Reggio Emilia
63,DEU,Grunewald,George Essen,Cunewalde
87,FIN,Perkii Urkii,Miiko Heikillä,Oulu
91,POL,Slotzy Danz,Boniekk Wallessa,Warszawa
49,ITA,La Moda d'il Futuri,Luca Brassi,Bergamo
27,ITA,Il Pantaloni di la Cammorra,Don Corleone,Torino
73,DNK,Rode & Vite,Preben Elkjaer,København
17,DEU,Gluderstedt,Lars von Holstein,Aachen
